,Title,"Band Gap, HSE06","Dielectric Constant, Electronic",EBE
461,C4H12NGeBr3,3.66,3.21,2.851503926467525
463,C4H12NGeBr3,4.03,2.98,3.0918863574516946
465,C3H10NGeBr3,3.68,3.42,2.9677445717241224
467,C3H10NGeBr3,3.39,3.44,2.6860025358905175
469,C3H10NGeBr3,3.13,3.47,2.438122782243356
471,C3H10NGeBr3,3.13,3.47,2.438122782243356
473,C3H10NGeBr3,3.9,3.17,3.07097151018659
475,C3H10NGeBr3,4.07,3.21,3.261503926467525
477,C3H10NGeBr3,4.2,3.2,3.3864429305384793
479,C3H10NGeBr3,3.99,3.36,3.2520797555904575
481,C3H10NGeBr3,4.16,3.38,3.430786702909039
483,C2H8NGeBr3,3.14,3.64,2.5112395550593245
485,C2H8NGeBr3,3.17,3.65,2.5446800982333664
487,C2H8NGeBr3,3.17,3.63,2.5377705384964617
489,C2H8NGeBr3,3,3.72,2.3979922251643275
491,C2H8NGeBr3,3.59,3.69,2.9781636892145347
493,C2H8NGeBr3,3.68,3.69,3.068163689214535
495,C2H8NGeBr3,3.94,3.57,3.286340544744488
497,C2H8NGeBr3,4.01,3.54,3.345214626122285
499,C2H8NGeBr3,4.06,3.54,3.395214626122285
501,C2H7N2GeBr3,3.12,3.63,2.487770538496462
503,C2H7N2GeBr3,3.19,3.61,2.5507458206055835
505,C2H7N2GeBr3,2.99,3.72,2.3879922251643277
507,C2H7N2GeBr3,3.98,3.67,3.3614770032232792
509,C2H7N2GeBr3,3.81,3.71,3.2047425264793215
511,C2H7N2GeBr3,4.32,3.39,3.595082500910541
513,CH6NGeBr3,2.3,4.38,1.8657500682176154
515,CH6NGeBr3,2.38,4.33,1.9356632980448998
517,CH6NGeBr3,3.71,3.86,3.15086925881997
519,CH6NGeBr3,3.76,3.76,3.17073276996902
521,CH6NGeBr3,3.37,4.09,2.8719862153331235
523,CH6NGeBr3,3.36,3.97,2.831424576560604
525,CH6N3GeBr3,3.1,3.83,2.532075725426857
527,CH6N3GeBr3,2.88,3.95,2.3460583630004184
529,CH6N3GeBr3,3.74,3.86,3.1808692588199703
531,H4NOGe3Br,2.25,4.8,1.888419080239324
533,H4NOGe3Br,3.16,4.51,2.7504236266642756
535,H4NOGe3Br,3.17,4.51,2.7604236266642754
537,H4NOGe3Br,3.01,4.6,2.6162937433229687
539,H4NOGe3Br,3.56,4.3,3.109441622969931
541,H4NOGe3Br,3.59,4.21,3.119971937007466
543,H4NOGe3Br,3.55,4.35,3.1097397600060255
545,CH5N2GeBr3,2.58,4.17,2.10091136349706
547,CH5N2GeBr3,2.64,4.15,2.1562825146589653
549,CH5N2GeBr3,3.99,3.58,3.33998717336491
551,C4H12NGeBr3,3.47,3.26,2.6861142316905067
553,C4H12NGeBr3,3.69,3.21,2.8815039264675253
555,C4H12NGeBr3,4.02,3.06,3.130296852568886
557,H5N2GeBr3,2.14,4.66,1.756366833461384
559,H5N2GeBr3,2.36,4.77,1.9938565900924288
561,H5N2GeBr3,3.56,4.25,3.098777888371711
563,H5N2GeBr3,3.75,4.13,3.2615862559265767
565,H5N2GeBr3,3.87,4.0,3.349323475544627
567,H5N2GeBr3,3.36,4.32,2.9136038027645976
569,H5N2GeBr3,3.37,4.35,2.9297397600060258
571,H5N2GeBr3,3.81,4.06,3.3045992142926317
573,H5N2GeBr3,3.17,4.41,2.7416381347645284
575,H5N2GeBr3,3.39,4.3,2.939441622969931
577,H5N2GeBr3,3.33,4.42,2.9035742311128985
579,H4NGeBr3,3.74,4.0,3.219323475544627
581,H4NGeBr3,2.76,4.16,2.2786052843422953
583,H4NGeBr3,3.71,4.04,3.1995828600574714
585,H4NGeBr3,3.71,4.03,3.1970466297258175
587,C3H10NGeBr3,3.21,3.41,2.4935609952368853
589,C3H10NGeBr3,3.38,3.39,2.6550825009105408
591,C3H10NGeBr3,3.87,3.28,3.0956446691621453
